,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Agustus,,2026,,,Pemasukan,,Pengeluaran,,,Tagihan,,,Tabungan,,,,,,,,,,,
,Pemasukan,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,Rencana,Aktual,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,Total,Rp0,Rp0,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,Tabungan,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,Rencana,Aktual,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,FALSE,,,,,,,,,,,,,,
,#REF!,,#REF!,,Total,,,Rp0,,,Total,,,Rp0,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,Pengeluaran,,,,,,Pemasukan,,,,,Budgeting Sub Kategori,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,Tanggal,Nama,Kategori,Jumlah,Keterangan,,Jenis,Tanggal,Nama,Jumlah,Keterangan,,Nama sub kategori,,Budget,,Aktual,,Sisa budget,,Persentase terpakai
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,Total,Rp0,Rp0,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,,,,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,Pengeluaran,,,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,,Rencana,Aktual,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,#REF!,,,,#REF!,,#REF!,,#REF!
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,Total,Rp0,Rp0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Peringkat Pengeluaran,,,,,,,,,,,,,,,,,,,,,,,,
,Peringkat,Kategori,Total,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Peringkat Tagihan,,,,,,,,,,,,,,,,,,,,,,,,
,Peringkat,,,,Total,,,Rp0,,,Total,,,Rp0,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Peringkat Tabungan,,,,,,,,,,,,,,,,,,,,,,,,
,Peringkat,Kategori,Total,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,
